Unnamed: 0,Business,Finance,Operations Management,Medicine,Healthcare,Public Health,Creative Arts,Creative Writing,Counseling,Engineering,Computer Science,Data Science,Mathematics,Marketing,Photography,Environmental Science,Sustainability,Gardening,Sports Science,Kinesiology,Athletic Coaching,Journalism,Editing,Storytelling,Law
Software Development,1.0048221978778647e-05,1.0048221978778647e-05,1.0048221978778647e-05,1.0048221978778647e-05,1.0048221978778647e-05,1.0048221978778647e-05,0.01548883,1.0048221978778647e-05,1.0048221978778647e-05,1,0.9936647123018288,0.9993194121416166,0.9984372988257944,1.0048221978778647e-05,1.0048221978778647e-05,1.0048221978778647e-05,0.091148795,1.0048221978778647e-05,0.015791301,1.0048221978778647e-05,1.0048221978778647e-05,1.0048221978778647e-05,1.0048221978778647e-05,1.0048221978778647e-05,1.0048221978778647e-05
Space Exploration,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sports,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sports Science,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Statistics,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Storytelling,0.049484813,1.0138377058014167e-05,1.0138377058014167e-05,0.048400581,1.0138377058014167e-05,1.0138377058014167e-05,1.0138377058014167e-05,1.0138377058014167e-05,1.0138377058014167e-05,1.0138377058014167e-05,1.0138377058014167e-05,1.0138377058014167e-05,1.0138377058014167e-05,1.0138377058014167e-05,1.0138377058014167e-05,1.0138377058014167e-05,1.0138377058014167e-05,1.0138377058014167e-05,1.0138377058014167e-05,1.0138377058014167e-05,1.0138377058014167e-05,1,0.9965729651976843,0.9936496357011012,1.0138377058014167e-05
Stress Management,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sustainability,0.11583135173440644,1.0151324961242878e-05,1.0151324961242878e-05,1.0151324961242878e-05,1.0151324961242878e-05,1.0151324961242878e-05,1.0151324961242878e-05,1.0151324961242878e-05,1.0151324961242878e-05,1.0151324961242878e-05,1.0151324961242878e-05,0.16746266848971103,1.0151324961242878e-05,1.0151324961242878e-05,1.0151324961242878e-05,0.953091305,1,0.9782455371231117,1.0151324961242878e-05,1.0151324961242878e-05,1.0151324961242878e-05,1.0151324961242878e-05,1.0151324961242878e-05,1.0151324961242878e-05,1.0151324961242878e-05
Teaching and Training,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Teamwork,0.9637123262481865,1,0.9602494868573637,1.0967456993075769e-05,1.0967456993075769e-05,1.0967456993075769e-05,0.22176374787885242,1.0967456993075769e-05,1.0967456993075769e-05,1.0967456993075769e-05,1.0967456993075769e-05,1.0967456993075769e-05,1.0967456993075769e-05,1.0967456993075769e-05,1.0967456993075769e-05,1.0967456993075769e-05,1.0967456993075769e-05,1.0967456993075769e-05,1.0967456993075769e-05,1.0967456993075769e-05,1.0967456993075769e-05,1.0967456993075769e-05,0.24258770494980597,1.0967456993075769e-05,1.0967456993075769e-05
Technology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Theology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Time Management,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Travel,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UI/UX Design,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Veterinary Science,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Web Development,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Woodworking,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Work Ethic,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Writing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
